room_id,building,room_no,occupancy,sq_footage,res_college,taken
2881,FORBES,405,1,179,Forbes College,true
30,1967,B205,1,152,Butler College,true
2407,2 DICKINSON,33,2,244,No Res College Associated,true
2230,HOLDER,87A,2,559,Rockefeller College,true
1397,SCULLY,416,1,134,Upperclass,true
2088,EDWARDS,207,1,154,Mathey College,true
1580,FISHER,A302,1,126,Whitman College,true
2252,HOLDER,83,4,433,Rockefeller College,true
515,HOLDER,96,2,246,Rockefeller College,true
2732,BLOOMBERG,202,1,145,Butler College,true
3112,ADDY,A705,1,168,New College West,false
3173,ALIYA KANJI,B610,1,148,New College West,false
570,1901,111,1,122,Upperclass,false
629,1901,431,2,330,Upperclass,false
607,1901,311,2,363,Upperclass,false
3214,KWANZA MARION JONES,C111,1,146,New College West,false
36,1967,B304,4,574,Butler College,false
3157,ALIYA KANJI,B415,4,580,New College West,false
3142,ALIYA KANJI,B313,1,151,New College West,false
1795,WALKER,214,1,164,Upperclass,true
3131,ALIYA KANJI,B213,1,149,New College West,false
332,BLAIR,96,4,603,Mathey College,false
157,BLOOMBERG,481,4,638,Butler College,false
740,BROWN,320,4,503,Upperclass,false
789,CUYLER,421,5,775,Upperclass,false
207,FORBES,208,2,183,Forbes College,false
220,FORBES,235,2,291,Forbes College,false
196,FORBES,111,2,183,Forbes College,false
201,FORBES,153,2,280,Forbes College,false
231,FORBES,263,2,293,Forbes College,false
229,FORBES,261,2,293,Forbes College,false
245,FORBES,324,2,294,Forbes College,false
888,FOULKE,133,4,525,Upperclass,false
2217,HOLDER,21,2,305,Rockefeller College,false
3194,JOSE ENRIQUE FELICIANO,D611,4,459,New College West,false
3196,KWANZA MARION JONES,C001,4,485,New College West,false
409,JOLINE,321,4,508,Mathey College,false
432,LITTLE,71,5,889,Mathey College,false
433,LITTLE,73,4,573,Mathey College,false
1629,LAURITZEN,D305,4,495,Whitman College,false
1024,LITTLE,97,4,519,Upperclass,false
421,LITTLE,31,4,527,Mathey College,false
1121,PATTON,84,1,139,Upperclass,false
1053,LITTLE,A48,4,529,Upperclass,false
1159,PYNE,142,2,295,Upperclass,false
1345,SCULLY,274,2,278,Upperclass,false
1445,SPELMAN,63,4,930,Upperclass,false
801,CUYLER,611,3,439,Upperclass,false
1009,LAUGHLIN,616,3,409,Upperclass,false
1470,WRIGHT,20,3,435,Upperclass,false
236,FORBES,303,3,311,Forbes College,false
729,BROWN,222,1,125,Upperclass,false
826,DOD,201,1,125,Upperclass,false
2093,EDWARDS,201,1,154,Mathey College,false
598,1901,223,1,157,Upperclass,false
636,1903,121,1,173,Upperclass,false
302,FORBES,A334,1,180,Forbes College,false
1540,BAKER,E223,1,140,Whitman College,false
1492,1981,F025,1,147,Whitman College,false
1572,BAKER,S405,1,131,Whitman College,false
1512,1981,F227,1,147,Whitman College,false
1390,SCULLY,404,1,134,Upperclass,false
1185,PYNE,321,1,213,Upperclass,false
134,BLOOMBERG,430,1,187,Butler College,false
1824,WENDELL,C212,1,149,Whitman College,false
1366,SCULLY,345,1,181,Upperclass,false
1605,HARGADON,G403,1,185,Whitman College,false
556,WITHERSPOON,416,1,120,Rockefeller College,false
445,LITTLE,309,1,119,Mathey College,false
505,HOLDER,78,1,250,Rockefeller College,false
506,HOLDER,79,1,176,Rockefeller College,false
413,JOLINE,333,1,188,Mathey College,false
1095,LOCKHART,411,1,182,Upperclass,false
2530,1981,F203,2,235,Whitman College,true
2832,FORBES,170,2,293,Forbes College,true
2601,FORBES,A118,2,179,Forbes College,true
1941,SCULLY,231,1,196,Upperclass,true
510,HOLDER,88,1,215,Rockefeller College,true
2264,HOLDER,114,2,186,Rockefeller College,true
697,1903,522,1,230,Upperclass,true
2185,PATTON,T6,3,442,Upperclass,true
2709,BLOOMBERG,370,1,136,Butler College,true
2710,BLOOMBERG,368,1,128,Butler College,true
3103,ADDY,A605,1,168,New College West,false
3238,KWANZA MARION JONES,C313A,1,160,New College West,false
700,1903,525,2,314,Upperclass,false
1882,1967,B302,4,542,Butler College,false
3115,ADDY,A709,2,306,New College West,false
3138,ALIYA KANJI,B303,1,156,New College West,false
272,FORBES,A231,2,282,Forbes College,false
934,HENRY,113,4,519,Upperclass,false
1165,PYNE,214,1,146,Upperclass,false
856,DOD,417,1,120,Upperclass,false
923,FOULKE,332,1,184,Upperclass,false
685,1903,433,1,179,Upperclass,false
1210,PYNE,429,1,113,Upperclass,false
2670,SCULLY,218,1,147,Upperclass,false
1922,WITHERSPOON,515,1,227,Rockefeller College,false
1152,PYNE,125,1,186,Upperclass,false
2351,WALKER,234,1,183,Upperclass,false
2350,WALKER,311,2,181,Upperclass,true
2370,WALKER,316,1,181,Upperclass,true
2355,WALKER,131,2,274,Upperclass,true
2380,WALKER,225,1,176,Upperclass,false
2362,WALKER,113,2,171,Upperclass,true
1809,WALKER,333,2,201,Upperclass,false
1794,WALKER,213,1,157,Upperclass,true
2361,WALKER,114,2,189,Upperclass,true
2363,WALKER,112,2,219,Upperclass,true
2346,WALKER,221,2,364,Upperclass,false
2356,WALKER,126,1,99,Upperclass,false
2360,WALKER,116,1,99,Upperclass,true
1797,WALKER,231,4,701,Upperclass,true
2379,WALKER,232,1,160,Upperclass,true
1805,WALKER,324,1,158,Upperclass,true
2381,WALKER,222,1,202,Upperclass,false
2352,WALKER,220,1,148,Upperclass,true
2357,WALKER,125,1,100,Upperclass,false
2364,WALKER,111,2,178,Upperclass,true
1792,WALKER,123,1,161,Upperclass,true
1791,WALKER,121,1,177,Upperclass,false
2349,WALKER,313,1,181,Upperclass,true
2372,WALKER,314,1,179,Upperclass,true
2367,WALKER,321,1,194,Upperclass,false
1796,WALKER,223,1,152,Upperclass,true
2359,WALKER,122,1,219,Upperclass,false
2354,WALKER,211,2,417,Upperclass,true
2353,WALKER,215,1,177,Upperclass,true
2365,WALKER,323,1,199,Upperclass,false
2358,WALKER,124,1,151,Upperclass,true
2347,WALKER,224,1,188,Upperclass,false
1793,WALKER,132,1,151,Upperclass,true
2374,WALKER,329,1,181,Upperclass,false
1801,WALKER,304,1,183,Upperclass,false
1863,WALKER,328,1,199,Upperclass,false
1807,WALKER,331,4,755,Upperclass,true
2368,WALKER,318,1,176,Upperclass,true
1865,WALKER,322,4,495,Upperclass,false
1808,WALKER,332,2,275,Upperclass,false
1802,WALKER,305,2,186,Upperclass,false
2371,WALKER,315,1,179,Upperclass,true
1803,WALKER,312,4,476,Upperclass,true
1806,WALKER,327,1,175,Upperclass,true
1798,WALKER,301,2,246,Upperclass,false
1804,WALKER,319,1,176,Upperclass,true
2377,WALKER,325,1,177,Upperclass,true
1799,WALKER,302,2,186,Upperclass,false
2348,WALKER,233,1,208,Upperclass,false
2378,WALKER,324,1,176,Upperclass,true
2369,WALKER,317,2,202,Upperclass,true
1800,WALKER,303,2,185,Upperclass,false
2376,WALKER,326,1,177,Upperclass,true
3296,EDWARDS,404,1,170,Mathey College,false
3050,GROUSBECK,C503B,1,146,Yeh College,false
3016,GROUSBECK,C211,1,154,Yeh College,false
3079,MANNION,D103,4,454,Yeh College,false
3060,H,A305,1,148,Yeh College,false
3037,GROUSBECK,C305B,1,159,Yeh College,false
2952,BOSQUE,B030,1,154,Yeh College,false
3063,H,A311A,1,145,Yeh College,false
3030,GROUSBECK,C233,1,152,Yeh College,false
2997,BOSQUE,B510,1,146,Yeh College,false
2961,BOSQUE,B223,4,473,Yeh College,false
2962,BOSQUE,B228A,1,158,Yeh College,false
3052,GROUSBECK,C505,1,151,Yeh College,false
3013,GROUSBECK,C205A,1,157,Yeh College,false
2967,BOSQUE,B234,4,533,Yeh College,false
3095,MANNION,D515,4,461,Yeh College,false
2955,BOSQUE,B117,1,136,Yeh College,false
3092,MANNION,D507,1,150,Yeh College,false
2957,BOSQUE,B120,1,130,Yeh College,false
3056,GROUSBECK,C515,1,167,Yeh College,false
2946,BOSQUE,B021,1,136,Yeh College,false
3083,MANNION,D216,1,152,Yeh College,false
3071,H,A601,4,454,Yeh College,false
2970,BOSQUE,B306,2,295,Yeh College,false
2945,BOSQUE,B020,1,151,Yeh College,false
3031,GROUSBECK,C237,2,294,Yeh College,false
3057,GROUSBECK,C516,4,458,Yeh College,false
2983,BOSQUE,B403,1,128,Yeh College,false
3085,MANNION,D311,2,258,Yeh College,false
3081,MANNION,D118,1,152,Yeh College,false
2969,BOSQUE,B303,1,129,Yeh College,false
3026,GROUSBECK,C228,1,153,Yeh College,false
3089,MANNION,D501,1,155,Yeh College,false
2974,BOSQUE,B317,2,242,Yeh College,false
2981,BOSQUE,B335,4,533,Yeh College,false
3012,GROUSBECK,C204,1,149,Yeh College,false
3076,H,A608,1,151,Yeh College,false
3072,H,A603,2,302,Yeh College,false
3040,GROUSBECK,C402A,1,142,Yeh College,false
3025,GROUSBECK,C227,1,153,Yeh College,false
3049,GROUSBECK,C503A,1,142,Yeh College,false
2987,BOSQUE,B418A,1,158,Yeh College,false
3024,GROUSBECK,C225,4,735,Yeh College,false
2944,BOSQUE,B014,4,558,Yeh College,false
2998,BOSQUE,B512,1,151,Yeh College,false
3045,GROUSBECK,C405B,1,159,Yeh College,false
2971,BOSQUE,B309,2,241,Yeh College,false
3061,H,A306,1,152,Yeh College,false
